Name	Tweet
Katy Perry (@katyperry)	No one will ever believe in you if YOU don't believe in you.
Katy Perry (@katyperry)	i can't wait till instagram culture is over so we can all be ourselves again
Katy Perry (@katyperry)	Fucking devastated, furious and heartbroken. I mourn today.
Katy Perry (@katyperry)	Wanna have a heart of appreciation and an undefeated mind ❤️💪🏻
Katy Perry (@katyperry)	Our brothers & sisters in #PurertoRico can use our help right now. Let's show our love and support however we can http://unitedforpuertorico.com 🇵🇷
Katy Perry (@katyperry)	TWICE AS NICE
Katy Perry (@katyperry)	best storyteller wins.
Katy Perry (@katyperry)	Shout out to my father who now says "I'm not a republican, I'm not a democrat, I am an American." 🇺🇸
Katy Perry (@katyperry)	letting go, letting God
Katy Perry (@katyperry)	then change your @
Michael Phelps (@MichaelPhelps)	Tomorrow is a new start... Can't wait!!!
Michael Phelps (@MichaelPhelps)	Remember guys... Taking over @Ravens twitter today!!! Let's have some fun😁😁
Michael Phelps (@MichaelPhelps)	Merry Xmas tweep!!! And happy holidays!!
Michael Phelps (@MichaelPhelps)	Not pleased with my race tonight at all... But tom is a new day! And a new race!!
Michael Phelps (@MichaelPhelps)	Wow... What ppl do and say really seem to amaze me sometimes...
Michael Phelps (@MichaelPhelps)	Scotland here we come!!!!
Michael Phelps (@MichaelPhelps)	Haters........
Michael Phelps (@MichaelPhelps)	Sick win tiger! @TigerWoods
Michael Phelps (@MichaelPhelps)	Airports may be the best ppl watching places ever!!!
Michael Phelps (@MichaelPhelps)	So far I've had 2 meals from #beckysdiner while I've been up in Portland.... Hmmm where else should I try?
Lili Reinhart (@lilireinhart)	#2014In5Words I napped almost every day.
Lili Reinhart (@lilireinhart)	My grandpa still calls my grandma "babe"... And if that isn't true love after 55 years of marriage then I don't know what is
Lili Reinhart (@lilireinhart)	I could go for some BBQ ribs and waffle fries...... *drools*
Lili Reinhart (@lilireinhart)	My camera just deleted the audition I taped today. Before I put it on my computer. *actually cries*
Lili Reinhart (@lilireinhart)	What is a song that evokes a lot of emotion from you?
Lili Reinhart (@lilireinhart)	Picking up my boyfriend from the airport ✈️ He's finally visiting here!
Lili Reinhart (@lilireinhart)	Ah yes, learning accents....
Lili Reinhart (@lilireinhart)	Giving thanks and celebrating those who fought for us today. And to my second cousin who is currently in Afghanistan serving us.
Lili Reinhart (@lilireinhart)	Not sure how I'm ever going to be able to move out of my home... how do you separate yourself from your favorite people in the world?
Lili Reinhart (@lilireinhart)	Has anyone out there been watching Penny Dreadful? I really like it so far. I also have had a girl crush on Eva Green since Dark Shadows.
Miley Cyrus (@MileyCyrus)	But it is true. I am HUMAN and I need to be loved. Just like all 4,108,281 of you. Its x-mas make sure everyone you love knows how much xx
Miley Cyrus (@MileyCyrus)	Such an awesome Halloween! NOW IT'S GETTING CLOSE TO B-DAY TIME! =]]]]]
Miley Cyrus (@MileyCyrus)	"Just do it. Whatever it is. Awake is the new sleep. SO WAKE UP"
Miley Cyrus (@MileyCyrus)	Twitters word limit has a crappy way of not only ruining a good story but making u look like an idiot I dont like using #s to replace words
Miley Cyrus (@MileyCyrus)	Dedicating the day to cleaning my closet! Oh lord help me!
Miley Cyrus (@MileyCyrus)	You know the world is skewed when people get away with murdering children but we cant get gay marriage legalized in the state of California.
